                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          3.0000000000000004E+001          2.0000000000000000E+001          6.3095734448019334E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230326" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.5096045125668331E+002          6.3095823424683930E+000          5.2937256695384669E+001          1.6978888106861234E+002          2.5468302200543332E+002          2.1939970020164687E+001          1.8232189704827672E+001         -6.6420844777563881E-001         -1.0000000000000000E+000          2.9999964709410506E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6414842765765476E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6414842765765476E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7300902131623964E+054         -3.6018362593102489E+038          0.0000000000000000E+000         -3.7576626072915100E+035         -3.5980785967029575E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2659836132771352E+002          6.3096031503221592E+000          5.2937343952411318E+001          1.6978888127143577E+002          2.5468232163528651E+002          2.1939993297127483E+001          1.8232231914223828E+001         -6.6114596336249987E-001         -1.0000000000000000E+000          2.9999882174632450E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6670074423583783E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6670074423583783E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7300861038631687E+054         -3.3964846094460233E+038          0.0000000000000000E+000         -3.7576216812797003E+035         -3.3927269877647436E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4613056857156589E+003          6.3096527723423819E+000          5.2937552036777618E+001          1.6978888177632714E+002          2.5468065137732290E+002          2.1940048804288114E+001          1.8232332574186692E+001         -6.6092539155566277E-001         -1.0000000000000000E+000          2.9999685340154212E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6771881421835868E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6771881421835868E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7300763032105048E+054         -3.3179034878345065E+038          0.0000000000000000E+000         -3.7575245742223143E+035         -3.3141459632602843E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7871566151366706E+003          6.3097830287526326E+000          5.2938098259003297E+001          1.6978888303428579E+002          2.5467626724232787E+002          2.1940194516059847E+001          1.8232596802114728E+001         -6.6734383674220432E-001         -1.0000000000000000E+000          2.9999168695974117E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6385626588138731E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6385626588138731E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7300505799151463E+054         -3.6262380351152553E+038          0.0000000000000000E+000         -3.7572730505789203E+035         -3.6224807620646764E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.5746179998335629E+003          6.3101216896348653E+000          5.2939518406382156E+001          1.6978888617495579E+002          2.5466486961348414E+002          2.1940573364234019E+001          1.8233283775531717E+001         -6.7336757160118010E-001         -1.0000000000000000E+000          2.9997825576294730E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6396598760565428E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6396598760565428E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7299837074390166E+054         -3.6172910393131294E+038          0.0000000000000000E+000         -3.7566107609346033E+035         -3.6135344285521949E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3975673912602524E+004          6.3109416444169080E+000          5.2942956621640654E+001          1.6978889404641404E+002          2.5463727723965681E+002          2.1941490503776944E+001          1.8234947020614165E+001         -6.7307881212542209E-001         -1.0000000000000000E+000          2.9994573987866168E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6471261439320743E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6471261439320743E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7298217936246562E+054         -3.5561594334987098E+038          0.0000000000000000E+000         -3.7550078848949414E+035         -3.5524044256138149E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9810109361463787E+004          6.3129830102116617E+000          5.2951515402576618E+001          1.6978891399810649E+002          2.5456860559663949E+002          2.1943773284218217E+001          1.8239087632534865E+001         -6.7112197247984073E-001         -1.0000000000000000E+000          2.9986481402369815E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6455685338314989E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6455685338314989E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7294187216973754E+054         -3.5700732494747661E+038          0.0000000000000000E+000         -3.7510293311370310E+035         -3.5663222201436290E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.4170946044198424E+005          6.3176864532692250E+000          5.2971229921108041E+001          1.6978896133125289E+002          2.5441050513908624E+002          2.1949030121397847E+001          1.8248626700327701E+001         -6.6727140384922523E-001         -1.0000000000000000E+000          2.9967849870138416E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6410545359401771E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6410545359401771E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7284902044387193E+054         -3.6100117381031508E+038          0.0000000000000000E+000         -3.7414086172428689E+035         -3.6062703294859082E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1863622828239598E+005          6.3221623125324822E+000          5.2989983838344102E+001          1.6978900548307712E+002          2.5426022042689462E+002          2.1954029276112870E+001          1.8257702649795920E+001         -6.6411540535137070E-001         -1.0000000000000000E+000          2.9950139551554972E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6357351369698998E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6357351369698998E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.7276069741065928E+054         -3.6570326497913014E+038          0.0000000000000000E+000         -3.7315055103626698E+035         -3.6533011442809386E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
